meter,Ptrn1,Ptrn2,Ptrn3,Ptrn4,Ptrn5,Ptrn6,Ptrn7,Ptrn8,pad
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLLL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLLL,SLL,,NNNNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLSSL,SLLL,SLL,,NNNNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLSSL,SLLL,SLL,,NNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLLL,SLL,,NNNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLSSL,SLSSL,SLL,,SLSSL,SLSSL,SLL,,NNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLLL,SLSSL,SLL,,SLLL,SLSSL,SLL,,NNNNNN
wafir_complete,SLSSL,SLLL,SLL,,SLSSL,SLSSL,SLL,,NNNNN
wafir_complete,SLLL,SLLL,SLL,,SLLL,SLSSL,SLL,,NNNNNNN
